2theta,intensity
18.56,508.54408337306046
18.58,507.4456883309502
18.6,506.3472932888399
18.62,505.2488982467296
18.64,504.1505032046193
18.66,503.05210816250906
18.68,501.9537131203988
18.7,500.8553180782885
18.72,499.7569230361782
18.74,498.6585279940679
18.76,497.56013295195766
18.78,496.4617379098474
18.8,495.36334286773706
18.82,494.2649478256268
18.84,493.1665527835165
18.86,492.06815774140625
18.88,490.969762699296
18.9,489.87136765718566
18.92,488.7729726150754
18.94,487.6745775729651
18.96,486.57618253085485
18.98,485.4777874887445
19.0,484.37939244663426
19.02,483.280997404524
19.04,482.1826023624137
19.06,481.08420732030345
19.08,479.9858122781931
19.1,478.88741723608285
19.12,477.7890221939726
19.14,476.6906271518623
19.16,475.592232109752
19.18,474.4938370676417
19.2,473.39544202553145
19.22,472.2970469834212
19.24,471.1986519413109
19.26,470.1002568992006
19.28,469.0018618570903
19.3,467.90346681498005
19.32,466.8050717728698
19.34,465.7066767307595
19.36,464.6082816886492
19.38,463.5098866465389
19.4,462.41149160442865
19.42,461.3130965623184
19.44,460.21470152020805
19.46,459.1163064780978
19.48,458.0179114359875
19.5,456.91951639387725
19.52,455.8211213517669
19.54,455.38227129645145
19.56,454.943421241136
19.58,454.50457118582057
19.6,454.0657211305051
19.62,453.6268710751896
19.64,453.18802101987416
19.66,452.7491709645587
19.68,452.3103209092433
19.7,451.8714708539278
19.72,451.43262079861233
19.74,450.99377074329686
19.76,450.5549206879814
19.78,450.116070632666
19.8,449.6772205773505
19.82,449.23837052203504
19.84,448.79952046671957
19.86,448.36067041140416
19.88,447.9218203560887
19.9,447.4829703007732
19.92,447.04412024545775
19.94,446.6052701901423
19.96,446.16642013482686
19.98,445.7275700795114
20.0,445.2887200241959
20.02,444.84986996888045
20.04,444.411019913565
20.06,443.9721698582496
20.08,443.5333198029341
20.1,443.09446974761863
20.12,442.65561969230316
20.14,442.2167696369877
20.16,441.7779195816723
20.18,441.3390695263568
20.2,440.90021947104134
20.22,440.46136941572587
20.24,440.0225193604104
20.26,439.583669305095
20.28,439.1448192497795
20.3,438.70596919446405
20.32,438.2671191391486
20.34,437.8282690838331
20.36,437.3894190285177
20.38,436.9505689732022
20.4,436.51171891788675
20.42,436.0728688625713
20.44,435.63401880725587
20.46,435.1951687519404
20.48,434.75631869662493
20.5,434.31746864130946
20.52,433.878618585994
20.54,433.4397685306786
20.56,433.0009184753631
20.58,432.56206842004764
20.6,432.12321836473217
